stock_code,stock_name,market
98120,(주)마이크로컨텍솔루션,KOSDAQ
9520,(주)포스코엠텍,KOSDAQ
95570,AJ네트웍스보통주,KOSPI
6840,AK홀딩스보통주,KOSPI
282330,BGF리테일보통주,KOSPI
27410,BGF보통주,KOSPI
138930,BNK금융지주보통주,KOSPI
1465,BYC1우선주,KOSPI
1460,BYC보통주,KOSPI
1045,CJ1우선주,KOSPI
00104K,CJ4우선주(전환),KOSPI
1040,CJ보통주,KOSPI
11155,CJ씨푸드1우선주,KOSPI
11150,CJ씨푸드보통주,KOSPI
58820,CMG제약,KOSDAQ
590,CS홀딩스보통주,KOSPI
12030,DB Inc.보통주,KOSPI
16610,DB금융투자보통주,KOSPI
5830,DB손해보험보통주,KOSPI
990,DB하이텍보통주,KOSPI
139130,DGB금융지주보통주,KOSPI
1530,DI동일보통주,KOSPI
215,DL1우선주,KOSPI
1880,DL건설보통주,KOSPI
210,DL보통주,KOSPI
37550K,DL이앤씨1우선주,KOSPI
37550L,DL이앤씨2우선주(전환),KOSPI
375500,DL이앤씨보통주,KOSPI
155660,DSR보통주,KOSPI
69730,DSR제강보통주,KOSPI
17860,DS단석보통주,KOSPI
17940,E1보통주,KOSPI
365550,ESR켄달스퀘어리츠보통주,KOSPI
50120,ES큐브,KOSDAQ
383220,F&F보통주,KOSPI
7700,F&F홀딩스,KOSPI
78935,GS1우선주,KOSPI
6360,GS건설보통주,KOSPI
78930,GS보통주,KOSPI
12630,HDC보통주,KOSPI
294870,HDC현대산업개발보통주,KOSPI
97230,HJ중공업보통주,KOSPI
14790,HL D&I보통주,KOSPI
24850,HLB이노베이션,KOSDAQ
204320,HL만도보통주,KOSPI
60980,HL홀딩스보통주,KOSPI
35000,HS애드보통주,KOSPI
3560,IHQ보통주,KOSPI
175330,JB금융지주보통주,KOSPI
234080,JW생명과학보통주,KOSPI
1065,JW중외제약1우선주,KOSPI
1067,JW중외제약2우선주(신형),KOSPI
1060,JW중외제약보통주,KOSPI
96760,JW홀딩스 보통주,KOSPI
105560,KB금융지주 보통주,KOSPI
432320,KB스타리츠보통주,KOSPI
24120,KB오토시스,KOSDAQ
9070,KCTC 보통주,KOSPI
44180,KD,KOSDAQ
3620,KG모빌리티보통주,KOSPI
16380,KG스틸보통주,KOSPI
1390,KG케미칼보통주,KOSPI
33180,KH 필룩스보통주,KOSPI
1940,KISCO홀딩스보통주,KOSPI
25000,KPX케미칼보통주,KOSPI
92230,KPX홀딩스보통주,KOSPI
40,KR모터스보통주,KOSPI
93050,LF보통주,KOSPI
3555,LG1우선주,KOSPI
34220,LG디스플레이보통주,KOSPI
3550,LG보통주,KOSPI
51905,LG생활건강1우선주,KOSPI
51900,LG생활건강보통주,KOSPI
373220,LG에너지솔루션보통주,KOSPI
32640,LG유플러스보통주,KOSPI
11070,LG이노텍보통주,KOSPI
66575,LG전자1우선주,KOSPI
66570,LG전자보통주,KOSPI
51915,LG화학1우선주,KOSPI
51910,LG화학보통주,KOSPI
79550,LIG넥스원보통주,KOSPI
10120,LS ELECTRIC보통주,KOSPI
680,LS네트웍스보통주,KOSPI
6260,LS보통주,KOSPI
229640,LS에코에너지보통주,KOSPI
108320,LX세미콘보통주,KOSPI
1120,LX인터내셔널보통주,KOSPI
86960,MDS테크,KOSDAQ
23150,MH에탄올보통주,KOSPI
35420,NAVER보통주,KOSPI
181710,NHN보통주,KOSPI
338100,NH프라임리츠보통주,KOSPI
34310,NICE보통주,KOSPI
8260,NI스틸보통주,KOSPI
4255,NPC1우선주,KOSPI
4250,NPC보통주,KOSPI
456040,OCI보통주,KOSPI
10955,S-Oil1우선주,KOSPI
10950,S-Oil보통주,KOSPI
950110,SBI핀테크솔루션즈,KOSDAQ
5090,SGC에너지보통주,KOSPI
1380,SG글로벌보통주,KOSPI
1770,SHD보통주,KOSPI
2360,SH에너지화학보통주,KOSPI
9160,SIMPAC보통주,KOSPI
123700,SJM보통주,KOSPI
25530,SJM홀딩스보통주,KOSPI
03473K,SK1우선주,KOSPI
11790,SKC보통주,KOSPI
18670,SK가스보통주,KOSPI
1740,SK네트웍스보통주,KOSPI
210980,SK디앤디보통주,KOSPI
395400,SK리츠보통주,KOSPI
34730,SK보통주,KOSPI
402340,SK스퀘어보통주,KOSPI
260870,SK시그넷,KONEX
361610,SK아이이테크놀로지보통주,KOSPI
100090,SK오션플랜트보통주,KOSPI
96775,SK이노베이션 1우선주,KOSPI
96770,SK이노베이션 보통주,KOSPI
1515,SK증권1우선주,KOSPI
1510,SK증권보통주,KOSPI
28513K,SK케미칼1우선주,KOSPI
285130,SK케미칼보통주,KOSPI
17670,SK텔레콤보통주,KOSPI
3570,SNT다이내믹스보통주,KOSPI
64960,SNT모티브보통주,KOSPI
100840,SNT에너지보통주,KOSPI
36530,SNT홀딩스보통주,KOSPI
5610,SPC삼립보통주,KOSPI
465770,STX그린로지스보통주,KOSPI
11810,STX보통주,KOSPI
77970,STX엔진보통주,KOSPI
71970,STX중공업보통주,KOSPI
84870,TBH글로벌보통주,KOSPI
2710,TCC스틸보통주,KOSPI
24070,WISCOM보통주,KOSPI
79940,가비아,KOSDAQ
78890,가온그룹,KOSDAQ
500,가온전선보통주,KOSPI
399720,가온칩스,KOSDAQ
296520,가이아코퍼레이션,KONEX
36620,감성코퍼레이션,KOSDAQ
860,강남제비스코보통주,KOSPI
217730,강스템바이오텍,KOSDAQ
35250,강원랜드보통주,KOSPI
114190,강원에너지,KOSDAQ
94480,갤럭시아머니트리,KOSDAQ
11420,갤럭시아에스엠보통주,KOSPI
39240,경남스틸,KOSDAQ
53950,경남제약,KOSDAQ
2100,경농보통주,KOSPI
9450,경동나비엔보통주,KOSPI
267290,경동도시가스보통주,KOSPI
12320,경동인베스트보통주,KOSPI
11040,경동제약,KOSDAQ
50,경방보통주,KOSPI
214390,경보제약보통주,KOSPI
12610,경인양행보통주,KOSPI
9140,경인전자보통주,KOSPI
24910,경창산업,KOSDAQ
13580,계룡건설산업보통주,KOSPI
12205,계양전기1우선주,KOSPI
12200,계양전기보통주,KOSPI
2140,고려산업보통주,KOSPI
198440,고려시멘트,KOSDAQ
49720,고려신용정보,KOSDAQ
